A2000J01
Betis,37,3,17,12,8,41,28,63
Recreativo,37,4,14,19,4,41,23,61
Atlético,37,5,17,10,10,54,38,61
Albacete,37,6,16,11,10,39,35,59
Sporting,37,7,15,11,11,48,42,56
Córdoba,37,8,13,13,11,34,31,52
Salamanca,37,9,15,7,15,41,42,52
Levante,37,10,11,18,8,49,43,51
Real Jaén,37,11,13,12,12,29,34,51
Eibar,37,12,11,16,10,28,24,49
Extremadura,37,13,14,7,16,35,42,49
Badajoz,37,14,10,18,9,31,33,48
Murcia,37,15,11,13,13,50,49,46
R. Ferrol,37,16,10,13,14,39,43,43
Leganés,37,17,8,19,10,40,37,43
Compostela,37,18,10,9,18,35,60,39
Elche,37,19,8,14,15,39,51,38
Getafe,37,20,8,10,19,39,56,34
Univer. L.P.,37,21,6,15,16,26,49,33
Lleida,37,22,4,11,22,31,54,23
A2000J39
Sevilla,39,1,21,10,8,62,37,73
Betis,39,2,19,12,8,44,29,69
Tenerife,39,3,19,11,9,54,29,68
Atlético,39,4,18,11,10,56,39,65
Albacete,39,5,17,12,10,40,35,63
Recreativo,39,6,14,20,5,42,26,62
Sporting,39,7,16,11,12,52,46,59
Salamanca,39,8,16,8,15,46,43,56
Córdoba,39,9,14,13,12,37,33,55
Real Jaén,39,10,14,13,12,34,37,55
Levante,39,11,11,20,8,52,46,53
Extremadura,39,12,15,8,16,37,42,53
Badajoz,39,13,10,20,9,31,33,50
Eibar,39,14,11,17,11,28,26,50
Murcia,39,15,11,13,15,50,52,46
Leganés,39,16,8,20,11,40,38,44
R. Ferrol,39,17,10,13,16,41,47,43
Compostela,39,18,11,10,18,39,61,43
Elche,39,19,9,15,15,41,51,42
Getafe,39,20,8,10,21,39,60,34
Univer. L.P.,39,21,6,15,18,27,56,33
Lleida,39,22,4,12,23,32,58,24
A2000J40
Sevilla,40,1,22,10,8,63,37,76
Betis,40,2,19,12,9,46,32,69
Tenerife,40,3,19,11,10,54,30,68
Atlético,40,4,19,11,10,57,39,68
Recreativo,40,5,15,20,5,44,26,65
Albacete,40,6,17,12,11,40,36,63
Sporting,40,7,17,11,12,53,46,62
Real Jaén,40,8,15,13,12,37,38,58
Levante,40,9,12,20,8,55,48,56
Extremadura,40,10,16,8,16,39,43,56
Salamanca,40,11,16,8,16,47,45,56
Córdoba,40,12,14,13,13,37,37,55
Badajoz,40,13,10,20,10,31,34,50
Eibar,40,14,11,17,12,28,27,50
Murcia,40,15,12,13,15,51,52,49
Leganés,40,16,9,20,11,44,38,47
R. Ferrol,40,17,11,13,16,43,48,46
Compostela,40,18,11,10,19,39,63,43
Elche,40,19,9,15,16,42,54,42
Getafe,40,20,8,10,22,40,62,34
Univer. L.P.,40,21,6,15,19,29,60,33
Lleida,40,22,5,12,23,36,60,27
A2000J41
Sevilla,41,1,22,11,8,64,38,77
Betis,41,2,20,12,9,47,32,72
Tenerife,41,3,20,11,10,57,32,71
Atlético,41,4,20,11,10,58,39,71
Albacete,41,5,18,12,11,44,37,66
Recreativo,41,6,15,20,6,44,27,65
Sporting,41,7,17,11,13,53,47,62
Salamanca,41,8,17,8,16,50,46,59
Real Jaén,41,9,15,14,12,37,38,59
Levante,41,10,12,21,8,56,49,57
Extremadura,41,11,16,9,16,40,44,57
Córdoba,41,12,14,13,14,38,41,55
Badajoz,41,13,10,21,10,33,36,51
Eibar,41,14,11,17,13,29,30,50
Murcia,41,15,12,13,16,51,53,49
R. Ferrol,41,16,11,14,16,44,49,47
Leganés,41,17,9,20,12,45,40,47
Elche,41,18,10,15,16,43,54,45
Compostela,41,19,11,11,19,39,63,44
Univer. L.P.,41,20,7,15,19,31,61,36
Getafe,41,21,8,11,22,42,64,35
Lleida,41,22,5,12,24,38,63,27
A2000J42
Sevilla,42,1,23,11,8,66,39,80
Betis,42,2,21,12,9,49,32,75
Tenerife,42,3,21,11,10,58,32,74
Atlético,42,4,21,11,10,59,39,74
Albacete,42,5,18,12,12,46,40,66
Recreativo,42,6,15,20,7,45,29,65
Sporting,42,7,17,12,13,55,49,63
Levante,42,8,13,21,8,58,50,60
Salamanca,42,9,17,8,17,51,48,59
Real Jaén,42,10,15,14,13,37,40,59
Extremadura,42,11,16,10,16,42,46,58
Córdoba,42,12,14,14,14,40,43,56
Murcia,42,13,13,13,16,53,54,52
Badajoz,42,14,10,21,11,34,38,51
Eibar,42,15,11,17,14,30,32,50
R. Ferrol,42,16,12,14,16,46,50,50
Leganés,42,17,9,20,13,45,41,47
Elche,42,18,10,16,16,45,56,46
Compostela,42,19,11,12,19,41,65,45
Univer. L.P.,42,20,8,15,19,34,63,39
Getafe,42,21,8,11,23,42,65,35
Lleida,42,22,5,13,24,40,65,28
A2001J01
Albacete,1,1,1,0,0,3,0,3
Atlético,1,2,1,0,0,2,0,3
Badajoz,1,3,1,0,0,1,0,3
Burgos,1,4,1,0,0,1,0,3
Xerez,1,5,1,0,0,1,0,3
Numancia,1,6,0,1,0,2,2,1
Salamanca,1,7,0,1,0,2,2,1
Córdoba,1,8,0,1,0,1,1,1
Extremadura,1,9,0,1,0,1,1,1
Leganés,1,10,0,1,0,1,1,1
Oviedo,1,11,0,1,0,1,1,1
Eibar,1,12,0,1,0,0,0,1
Elche,1,13,0,1,0,0,0,1
Racing Ferrol,1,14,0,1,0,0,0,1
Gimnástic,1,15,0,1,0,0,0,1
Murcia,1,16,0,1,0,0,0,1
Racing,1,17,0,1,0,0,0,1
Poli Ejido,1,18,0,0,1,0,1,0
